EODDATAID,ADATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
417941593,04-Jun-14,BANKNIFTY,14786.45,15321.8,14770,15287.25,,,33470475,2493.04,04-Jun-2014,
417951592,05-Jun-14,NIFTY,7264.05,7368.6,7239.5,7362.5,,,169891181,7833.43,05-Jun-2014,
417951593,05-Jun-14,BANKNIFTY,14786.45,15321.8,14770,15287.25,,,33470475,2493.04,05-Jun-2014,
417961592,06-Jun-14,NIFTY,7521.5,7592.7,7497.65,7583.4,,,248397596,12322.96,06-Jun-2014,
417961593,06-Jun-14,BANKNIFTY,15405.75,15576.05,15320.75,15543.15,,,39719688,2868.05,06-Jun-2014,
417991592,09-Jun-14,NIFTY,7621.65,7673.7,7580.25,7654.6,,,231879926,10866.56,09-Jun-2014,
417991593,09-Jun-14,BANKNIFTY,15625.4,15725.8,15522.85,15567.4,,,41916584,2849.94,09-Jun-2014,
418001592,10-Jun-14,NIFTY,7679.05,7683.2,7579.3,7656.4,,,188669182,9475.21,10-Jun-2014,
418001593,10-Jun-14,BANKNIFTY,15585.4,15585.4,15337.85,15427.8,,,30467964,2067.35,10-Jun-2014,
418011592,11-Jun-14,NIFTY,7679.05,7683.2,7579.3,7656.4,,,188669182,9475.21,11-Jun-2014,
418011593,11-Jun-14,BANKNIFTY,15585.4,15585.4,15337.85,15427.8,,,30467964,2067.35,11-Jun-2014,
418021592,12-Jun-14,NIFTY,7679.05,7683.2,7579.3,7656.4,,,188669182,9475.21,12-Jun-2014,
418021593,12-Jun-14,BANKNIFTY,15585.4,15585.4,15337.85,15427.8,,,30467964,2067.35,12-Jun-2014,
418031592,13-Jun-14,NIFTY,7679.05,7683.2,7579.3,7656.4,,,188669182,9475.21,13-Jun-2014,
418031593,13-Jun-14,BANKNIFTY,15585.4,15585.4,15337.85,15427.8,,,30467964,2067.35,13-Jun-2014,
418061592,16-Jun-14,NIFTY,7534.8,7548.6,7487.55,7533.55,,,155377979,8449.27,16-Jun-2014,
418061593,16-Jun-14,BANKNIFTY,15055.2,15091.3,14858.9,15030,,,32728056,2179.09,16-Jun-2014,
418071592,17-Jun-14,NIFTY,7534.8,7548.6,7487.55,7533.55,,,155377979,8449.27,17-Jun-2014,
418071593,17-Jun-14,BANKNIFTY,15055.2,15091.3,14858.9,15030,,,32728056,2179.09,17-Jun-2014,
418081592,18-Jun-14,NIFTY,7534.8,7548.6,7487.55,7533.55,,,155377979,8449.27,18-Jun-2014,
418081593,18-Jun-14,BANKNIFTY,15369.5,15461.55,15128.45,15220.4,,,36076242,2643.63,18-Jun-2014,
418091592,19-Jun-14,NIFTY,7534.8,7548.6,7487.55,7533.55,,,155377979,8449.27,19-Jun-2014,
418091593,19-Jun-14,BANKNIFTY,15369.5,15461.55,15128.45,15220.4,,,36076242,2643.63,19-Jun-2014,
418101592,20-Jun-14,NIFTY,7543.3,7560.55,7497.3,7511.45,,,124132217,6801.49,20-Jun-2014,
